timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/04 03:02:11.768, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 89.69 W
2026/08/04 03:02:12.772, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 89.69 W
2026/08/04 03:02:13.773, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 83.35 W
2026/08/04 03:02:14.773, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 61.87 W
2026/08/04 03:02:15.774, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 37.76 W
2026/08/04 03:02:16.774, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 31.32 W
2026/08/04 03:02:17.774, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 26.24 W
2026/08/04 03:02:18.775, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 23.95 W
2026/08/04 03:02:19.775, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 23.17 W
2026/08/04 03:02:20.776, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 22.35 W
2026/08/04 03:02:21.776, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 20.86 W
2026/08/04 03:02:22.777, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 20.34 W
2026/08/04 03:02:23.777, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 19.65 W
2026/08/04 03:02:24.778, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 19.13 W
2026/08/04 03:02:25.778, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 18.70 W
2026/08/04 03:02:26.778, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 18.32 W
2026/08/04 03:02:27.779, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 17.65 W
2026/08/04 03:02:28.779, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 17.42 W
2026/08/04 03:02:29.780, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 17.30 W
2026/08/04 03:02:30.780, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 17.12 W
2026/08/04 03:02:31.781, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 16.99 W
