scenario	case	status	started	finished
unitree_g1_pack_camera	case2	COMPLETED	2026-08-14T00:03:52+08:00	2026-08-14T00:21:31+08:00
unitree_g1_pack_camera	case3	COMPLETED	2026-08-14T00:21:31+08:00	2026-08-14T00:39:05+08:00
unitree_g1_pack_camera	case4	COMPLETED	2026-08-14T00:39:05+08:00	2026-08-14T00:56:43+08:00
unitree_z1_dual_arm_cleanup_pencils	case1	FAILED	2026-08-14T00:56:43+08:00	2026-08-14T01:09:43+08:00
unitree_z1_dual_arm_cleanup_pencils	case1	RECOVERED_COMPLETED	2026-08-14T00:56:43+08:00	2026-08-14T01:15:09+08:00
unitree_z1_dual_arm_cleanup_pencils	case2	COMPLETED	2026-08-14T01:15:09+08:00	2026-08-14T01:28:15+08:00
unitree_z1_dual_arm_cleanup_pencils	case3	COMPLETED	2026-08-14T01:28:15+08:00	2026-08-14T01:41:25+08:00
unitree_z1_dual_arm_cleanup_pencils	case4	COMPLETED	2026-08-14T01:41:25+08:00	2026-08-14T01:54:29+08:00
unitree_z1_dual_arm_stackbox	case1	COMPLETED	2026-08-14T01:54:29+08:00	2026-08-14T02:06:20+08:00
unitree_z1_dual_arm_stackbox	case2	COMPLETED	2026-08-14T02:06:20+08:00	2026-08-14T02:18:15+08:00
unitree_z1_dual_arm_stackbox	case3	COMPLETED	2026-08-14T02:18:15+08:00	2026-08-14T02:29:59+08:00
unitree_z1_dual_arm_stackbox	case4	COMPLETED	2026-08-14T02:29:59+08:00	2026-08-14T02:41:46+08:00
unitree_z1_dual_arm_stackbox_v2	case1	COMPLETED	2026-08-14T02:41:46+08:00	2026-08-14T02:59:27+08:00
unitree_z1_dual_arm_stackbox_v2	case2	COMPLETED	2026-08-14T02:59:27+08:00	2026-08-14T03:17:14+08:00
unitree_z1_dual_arm_stackbox_v2	case3	COMPLETED	2026-08-14T03:17:14+08:00	2026-08-14T03:34:56+08:00
unitree_z1_dual_arm_stackbox_v2	case4	COMPLETED	2026-08-14T03:34:56+08:00	2026-08-14T03:52:30+08:00
unitree_z1_stackbox	case1	COMPLETED	2026-08-14T03:52:30+08:00	2026-08-14T04:11:28+08:00
unitree_z1_stackbox	case2	COMPLETED	2026-08-14T04:11:28+08:00	2026-08-14T04:30:52+08:00
unitree_z1_stackbox	case3	COMPLETED	2026-08-14T04:30:52+08:00	2026-08-14T04:49:45+08:00
unitree_z1_stackbox	case4	COMPLETED	2026-08-14T04:49:45+08:00	2026-08-14T05:08:46+08:00
