timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/13 23:46:08.891, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 27.71 W, 34
2026/08/13 23:46:09.900, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 27.71 W, 34
2026/08/13 23:46:10.900, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 27.81 W, 34
2026/08/13 23:46:11.900, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 27.83 W, 34
2026/08/13 23:46:12.900, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 27.82 W, 34
2026/08/13 23:46:13.901, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.01 W, 34
2026/08/13 23:46:14.901, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.19 W, 34
2026/08/13 23:46:15.901, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.99 W, 34
2026/08/13 23:46:16.901, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.14 W, 34
2026/08/13 23:46:17.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 28.13 W, 34
2026/08/13 23:46:18.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.87 W, 34
2026/08/13 23:46:19.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.59 W, 34
2026/08/13 23:46:20.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.33 W, 34
2026/08/13 23:46:21.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.31 W, 34
2026/08/13 23:46:22.902, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.41 W, 34
2026/08/13 23:46:23.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.41 W, 34
2026/08/13 23:46:24.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.50 W, 34
2026/08/13 23:46:25.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.51 W, 34
2026/08/13 23:46:26.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.38 W, 34
2026/08/13 23:46:27.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.54 W, 34
2026/08/13 23:46:28.903, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.80 W, 34
2026/08/13 23:46:29.904, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 27.90 W, 34
