timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 02:18:15.390, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 98.41 W, 48
2026/08/14 02:18:16.396, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 97.71 W, 48
2026/08/14 02:18:17.396, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 87.25 W, 46
2026/08/14 02:18:18.396, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 67.57 W, 46
2026/08/14 02:18:19.396, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 46.78 W, 45
2026/08/14 02:18:20.396, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 38.13 W, 45
2026/08/14 02:18:21.396, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.46 W, 45
2026/08/14 02:18:22.397, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.85 W, 44
2026/08/14 02:18:23.397, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.39 W, 44
2026/08/14 02:18:24.397, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.91 W, 44
2026/08/14 02:18:25.397, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.78 W, 44
2026/08/14 02:18:26.397, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.05 W, 44
2026/08/14 02:18:27.397, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.34 W, 43
2026/08/14 02:18:28.397, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.99 W, 43
2026/08/14 02:18:29.398, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.59 W, 43
2026/08/14 02:18:30.398, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.43 W, 43
2026/08/14 02:18:31.398, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.32 W, 43
2026/08/14 02:18:32.398, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.20 W, 43
2026/08/14 02:18:33.398, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.08 W, 43
2026/08/14 02:18:34.398, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.77 W, 42
2026/08/14 02:18:35.398, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.37 W, 42
2026/08/14 02:18:36.398, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.01 W, 42
2026/08/14 02:18:37.399, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.99 W, 42
2026/08/14 02:18:38.399, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.85 W, 42
2026/08/14 02:18:39.399, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.56 W, 42
2026/08/14 02:18:40.399, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.43 W, 42
2026/08/14 02:18:41.400, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.17 W, 42
