timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 02:41:46.693, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 98.24 W, 48
2026/08/14 02:41:47.702, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 98.73 W, 48
2026/08/14 02:41:48.702, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 91.79 W, 47
2026/08/14 02:41:49.702, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 68.71 W, 46
2026/08/14 02:41:50.703, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 43.54 W, 46
2026/08/14 02:41:51.703, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 37.52 W, 45
2026/08/14 02:41:52.703, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.65 W, 45
2026/08/14 02:41:53.703, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.44 W, 45
2026/08/14 02:41:54.703, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.09 W, 45
2026/08/14 02:41:55.704, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.60 W, 44
2026/08/14 02:41:56.704, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.42 W, 44
2026/08/14 02:41:57.704, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.18 W, 44
2026/08/14 02:41:58.704, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.44 W, 44
2026/08/14 02:41:59.704, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.92 W, 44
2026/08/14 02:42:00.705, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.60 W, 44
2026/08/14 02:42:01.705, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.07 W, 43
2026/08/14 02:42:02.705, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.59 W, 43
2026/08/14 02:42:03.705, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.31 W, 43
2026/08/14 02:42:04.706, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.29 W, 43
2026/08/14 02:42:05.706, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.53 W, 43
2026/08/14 02:42:06.706, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.59 W, 43
2026/08/14 02:42:07.706, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.47 W, 43
2026/08/14 02:42:08.706, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.11 W, 43
2026/08/14 02:42:09.707, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.85 W, 43
2026/08/14 02:42:10.707, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.71 W, 42
2026/08/14 02:42:11.783, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.40 W, 42
2026/08/14 02:42:12.784, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.38 W, 42
2026/08/14 02:42:13.784, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.65 W, 42
2026/08/14 02:42:14.784, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.73 W, 42
2026/08/14 02:42:15.784, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.50 W, 42
2026/08/14 02:42:16.784, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.21 W, 42
2026/08/14 02:42:17.784, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.99 W, 42
2026/08/14 02:42:18.785, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.98 W, 42
2026/08/14 02:42:19.785, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.19 W, 42
2026/08/14 02:42:20.785, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.50 W, 42
2026/08/14 02:42:21.785, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.25 W, 41
2026/08/14 02:42:22.786, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.79 W, 41
2026/08/14 02:42:23.786, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.87 W, 41
2026/08/14 02:42:24.786, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.00 W, 41
2026/08/14 02:42:25.786, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.07 W, 41
2026/08/14 02:42:26.786, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.98 W, 41
2026/08/14 02:42:27.786, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.55 W, 41
2026/08/14 02:42:28.787, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.31 W, 41
2026/08/14 02:42:29.787, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.32 W, 41
2026/08/14 02:42:30.787, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.54 W, 41
2026/08/14 02:42:31.788, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1690 MiB, 49140 MiB, 29.77 W, 41
2026/08/14 02:42:32.789, NVIDIA GeForce RTX 4090, 51 %, 1 %, 6690 MiB, 49140 MiB, 62.14 W, 42
2026/08/14 02:42:33.789, NVIDIA GeForce RTX 4090, 68 %, 1 %, 13830 MiB, 49140 MiB, 90.24 W, 43
2026/08/14 02:42:34.789, NVIDIA GeForce RTX 4090, 17 %, 5 %, 18998 MiB, 49140 MiB, 97.32 W, 45
2026/08/14 02:42:35.789, NVIDIA GeForce RTX 4090, 39 %, 24 %, 19200 MiB, 49140 MiB, 247.38 W, 52
2026/08/14 02:42:36.790, NVIDIA GeForce RTX 4090, 52 %, 25 %, 19202 MiB, 49140 MiB, 267.97 W, 52
2026/08/14 02:42:37.790, NVIDIA GeForce RTX 4090, 49 %, 18 %, 19204 MiB, 49140 MiB, 262.79 W, 50
2026/08/14 02:42:38.790, NVIDIA GeForce RTX 4090, 38 %, 13 %, 19204 MiB, 49140 MiB, 252.01 W, 50
2026/08/14 02:42:39.791, NVIDIA GeForce RTX 4090, 39 %, 13 %, 19204 MiB, 49140 MiB, 259.42 W, 50
2026/08/14 02:42:40.791, NVIDIA GeForce RTX 4090, 54 %, 21 %, 19204 MiB, 49140 MiB, 262.82 W, 51
2026/08/14 02:42:41.791, NVIDIA GeForce RTX 4090, 53 %, 28 %, 19204 MiB, 49140 MiB, 268.45 W, 58
2026/08/14 02:42:42.792, NVIDIA GeForce RTX 4090, 92 %, 53 %, 19204 MiB, 49140 MiB, 285.70 W, 57
2026/08/14 02:42:43.792, NVIDIA GeForce RTX 4090, 54 %, 22 %, 19204 MiB, 49140 MiB, 285.58 W, 53
2026/08/14 02:42:44.792, NVIDIA GeForce RTX 4090, 41 %, 15 %, 19204 MiB, 49140 MiB, 269.58 W, 53
2026/08/14 02:42:45.792, NVIDIA GeForce RTX 4090, 45 %, 16 %, 19204 MiB, 49140 MiB, 272.04 W, 54
2026/08/14 02:42:46.793, NVIDIA GeForce RTX 4090, 66 %, 27 %, 19204 MiB, 49140 MiB, 266.88 W, 61
2026/08/14 02:42:47.793, NVIDIA GeForce RTX 4090, 94 %, 55 %, 19204 MiB, 49140 MiB, 305.17 W, 58
