timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/14 03:52:30.394, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 79.89 W, 48
2026/08/14 03:52:31.401, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 82.38 W, 48
2026/08/14 03:52:32.402, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 78.98 W, 47
2026/08/14 03:52:33.402, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 66.77 W, 47
2026/08/14 03:52:34.402, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 54.00 W, 46
2026/08/14 03:52:35.402, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 47.37 W, 46
2026/08/14 03:52:36.402, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 41.91 W, 46
2026/08/14 03:52:37.403, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 36.53 W, 46
2026/08/14 03:52:38.403, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 35.74 W, 45
2026/08/14 03:52:39.403, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.57 W, 45
2026/08/14 03:52:40.404, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 34.09 W, 45
2026/08/14 03:52:41.404, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.88 W, 45
2026/08/14 03:52:42.404, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.59 W, 45
2026/08/14 03:52:43.404, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 33.22 W, 44
2026/08/14 03:52:44.404, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.61 W, 44
2026/08/14 03:52:45.405, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.12 W, 44
2026/08/14 03:52:46.405, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.08 W, 44
2026/08/14 03:52:47.405, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 32.08 W, 44
2026/08/14 03:52:48.405, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.89 W, 44
2026/08/14 03:52:49.406, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.57 W, 44
2026/08/14 03:52:50.406, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.49 W, 44
2026/08/14 03:52:51.406, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.39 W, 43
2026/08/14 03:52:52.406, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 31.06 W, 43
2026/08/14 03:52:53.406, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.92 W, 43
2026/08/14 03:52:54.407, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.70 W, 43
2026/08/14 03:52:55.407, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.58 W, 43
2026/08/14 03:52:56.407, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.47 W, 43
2026/08/14 03:52:57.407, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.45 W, 43
2026/08/14 03:52:58.407, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.54 W, 43
2026/08/14 03:52:59.408, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.55 W, 43
2026/08/14 03:53:00.408, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.42 W, 43
2026/08/14 03:53:01.408, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.18 W, 42
2026/08/14 03:53:02.408, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.99 W, 42
2026/08/14 03:53:03.408, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.24 W, 42
2026/08/14 03:53:04.409, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.39 W, 42
2026/08/14 03:53:05.409, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.16 W, 42
2026/08/14 03:53:06.409, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.26 W, 42
2026/08/14 03:53:07.409, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.37 W, 42
2026/08/14 03:53:08.410, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 30.25 W, 42
2026/08/14 03:53:09.410, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.94 W, 42
2026/08/14 03:53:10.410, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.60 W, 42
2026/08/14 03:53:11.410, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.64 W, 42
2026/08/14 03:53:12.410, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.79 W, 42
2026/08/14 03:53:13.410, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.85 W, 42
2026/08/14 03:53:14.411, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.69 W, 42
2026/08/14 03:53:15.411, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.31 W, 41
2026/08/14 03:53:16.411, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.28 W, 41
2026/08/14 03:53:17.411, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 29.35 W, 41
2026/08/14 03:53:18.411, NVIDIA GeForce RTX 4090, 17 %, 0 %, 2950 MiB, 49140 MiB, 43.07 W, 42
2026/08/14 03:53:19.411, NVIDIA GeForce RTX 4090, 53 %, 1 %, 9628 MiB, 49140 MiB, 76.29 W, 43
2026/08/14 03:53:20.412, NVIDIA GeForce RTX 4090, 73 %, 1 %, 17392 MiB, 49140 MiB, 92.00 W, 44
2026/08/14 03:53:21.412, NVIDIA GeForce RTX 4090, 48 %, 16 %, 19200 MiB, 49140 MiB, 176.96 W, 49
2026/08/14 03:53:22.412, NVIDIA GeForce RTX 4090, 44 %, 15 %, 19202 MiB, 49140 MiB, 254.22 W, 50
2026/08/14 03:53:23.484, NVIDIA GeForce RTX 4090, 42 %, 19 %, 19204 MiB, 49140 MiB, 260.25 W, 56
