timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/14 05:48:59.293, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 29.35 W
2026/08/14 05:49:00.302, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 29.57 W
2026/08/14 05:49:01.302, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 30.02 W
2026/08/14 05:49:02.303, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 30.10 W
2026/08/14 05:49:03.303, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 30.10 W
2026/08/14 05:49:04.303, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 31.20 W
2026/08/14 05:49:05.303, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 30.02 W
2026/08/14 05:49:06.304, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.39 W
2026/08/14 05:49:07.304, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.44 W
2026/08/14 05:49:08.304, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.69 W
2026/08/14 05:49:09.305, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.90 W
2026/08/14 05:49:10.305, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.74 W
2026/08/14 05:49:11.305, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.47 W
2026/08/14 05:49:12.305, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.69 W
2026/08/14 05:49:13.306, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 30.34 W
2026/08/14 05:49:14.306, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 30.53 W
2026/08/14 05:49:15.306, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.31 W
2026/08/14 05:49:16.306, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.36 W
2026/08/14 05:49:17.307, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.52 W
2026/08/14 05:49:18.307, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.39 W
2026/08/14 05:49:19.307, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.07 W
2026/08/14 05:49:20.307, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.89 W
2026/08/14 05:49:21.308, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.04 W
2026/08/14 05:49:22.308, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.22 W
2026/08/14 05:49:23.308, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.27 W
2026/08/14 05:49:24.308, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.20 W
2026/08/14 05:49:25.308, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.07 W
2026/08/14 05:49:26.309, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.09 W
