timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/14 05:11:36.692, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 27.35 W
2026/08/14 05:11:37.700, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 27.03 W
2026/08/14 05:11:38.701, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 27.23 W
2026/08/14 05:11:39.701, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 27.75 W
2026/08/14 05:11:40.701, NVIDIA GeForce RTX 4090, 0 %, 1 MiB, 49140 MiB, 28.34 W
2026/08/14 05:11:41.701, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.48 W
2026/08/14 05:11:42.702, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 30.02 W
2026/08/14 05:11:43.702, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.86 W
2026/08/14 05:11:44.702, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.82 W
2026/08/14 05:11:45.702, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.57 W
2026/08/14 05:11:46.703, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.43 W
2026/08/14 05:11:47.703, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.53 W
2026/08/14 05:11:48.703, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.81 W
2026/08/14 05:11:49.704, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.20 W
2026/08/14 05:11:50.704, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.90 W
2026/08/14 05:11:51.704, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 29.33 W
2026/08/14 05:11:52.705, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 28.18 W
2026/08/14 05:11:53.705, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.17 W
2026/08/14 05:11:54.705, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.07 W
2026/08/14 05:11:55.705, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.13 W
2026/08/14 05:11:56.706, NVIDIA GeForce RTX 4090, 0 %, 4 MiB, 49140 MiB, 27.57 W
