scenario,case,status,elapsed_s,psnr_db,psnr_ge_25,avg_gpu_util_pct,peak_gpu_mem_mib,resolution,fps,frames,duration_s,video_bytes,evidence_dir
unitree_g1_pack_camera,case1,COMPLETED,1058.09,36.284803251333265,True,48.88,19206.0,512x320,8/1,176,22.0,4337689,results/wma/unitree_g1_pack_camera/case1
unitree_g1_pack_camera,case2,COMPLETED,1058.64,37.113842746283424,True,50.19,19206.0,512x320,8/1,176,22.0,4400531,results/wma/unitree_g1_pack_camera/case2
unitree_g1_pack_camera,case3,COMPLETED,1052.1,41.31449022868083,True,49.2,19206.0,512x320,8/1,176,22.0,4179186,results/wma/unitree_g1_pack_camera/case3
unitree_g1_pack_camera,case4,COMPLETED,1057.35,37.36802505907692,True,49.21,19206.0,512x320,8/1,176,22.0,4231759,results/wma/unitree_g1_pack_camera/case4
unitree_z1_dual_arm_cleanup_pencils,case1,COMPLETED,779.98,45.47076569384307,True,49.21,19206.0,512x320,8/1,128,16.0,2241460,results/wma/unitree_z1_dual_arm_cleanup_pencils/case1
unitree_z1_dual_arm_cleanup_pencils,case2,COMPLETED,784.29,47.76670416464071,True,48.82,19206.0,512x320,8/1,128,16.0,2253473,results/wma/unitree_z1_dual_arm_cleanup_pencils/case2
unitree_z1_dual_arm_cleanup_pencils,case3,COMPLETED,789.86,44.16556382081096,True,48.39,19206.0,512x320,8/1,128,16.0,2264789,results/wma/unitree_z1_dual_arm_cleanup_pencils/case3
unitree_z1_dual_arm_cleanup_pencils,case4,COMPLETED,782.89,46.69013237651632,True,47.88,19206.0,512x320,8/1,128,16.0,2262718,results/wma/unitree_z1_dual_arm_cleanup_pencils/case4
unitree_z1_dual_arm_stackbox,case1,COMPLETED,709.96,39.53723289821062,True,46.3,19206.0,512x320,8/1,112,14.0,2539901,results/wma/unitree_z1_dual_arm_stackbox/case1
unitree_z1_dual_arm_stackbox,case2,COMPLETED,713.55,39.72367725966507,True,44.98,19206.0,512x320,8/1,112,14.0,2518029,results/wma/unitree_z1_dual_arm_stackbox/case2
unitree_z1_dual_arm_stackbox,case3,COMPLETED,703.65,36.728084955808704,True,47.09,19206.0,512x320,8/1,112,14.0,2497818,results/wma/unitree_z1_dual_arm_stackbox/case3
unitree_z1_dual_arm_stackbox,case4,COMPLETED,705.76,42.68226883621553,True,45.25,19206.0,512x320,8/1,112,14.0,2511315,results/wma/unitree_z1_dual_arm_stackbox/case4
unitree_z1_dual_arm_stackbox_v2,case1,COMPLETED,1060.44,24.84894379792539,False,47.83,19206.0,512x320,8/1,176,22.0,2965163,results/wma/unitree_z1_dual_arm_stackbox_v2/case1
unitree_z1_dual_arm_stackbox_v2,case2,COMPLETED,1065.53,30.048795434677423,True,48.33,19206.0,512x320,8/1,176,22.0,3106925,results/wma/unitree_z1_dual_arm_stackbox_v2/case2
unitree_z1_dual_arm_stackbox_v2,case3,COMPLETED,1060.82,34.33656737216824,True,46.83,19206.0,512x320,8/1,176,22.0,3090105,results/wma/unitree_z1_dual_arm_stackbox_v2/case3
unitree_z1_dual_arm_stackbox_v2,case4,COMPLETED,1052.42,43.78562945053704,True,50.52,19206.0,512x320,8/1,176,22.0,3001667,results/wma/unitree_z1_dual_arm_stackbox_v2/case4
unitree_z1_stackbox,case1,COMPLETED,1137.53,47.11894557330212,True,49.92,19206.0,512x320,8/1,192,24.0,3345005,results/wma/unitree_z1_stackbox/case1
unitree_z1_stackbox,case2,COMPLETED,1162.85,39.03300259847122,True,47.82,19206.0,512x320,8/1,192,24.0,3443175,results/wma/unitree_z1_stackbox/case2
unitree_z1_stackbox,case3,COMPLETED,1131.41,49.56236914974546,True,50.49,19206.0,512x320,8/1,192,24.0,3362589,results/wma/unitree_z1_stackbox/case3
unitree_z1_stackbox,case4,COMPLETED,1139.9,47.43047543511483,True,47.76,19206.0,512x320,8/1,192,24.0,3349373,results/wma/unitree_z1_stackbox/case4
