timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/04 04:41:07.487, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 12.80 W
2026/08/04 04:41:08.493, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 12.80 W
2026/08/04 04:41:09.493, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 12.74 W
2026/08/04 04:41:10.493, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 12.95 W
2026/08/04 04:41:11.494, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 13.00 W
2026/08/04 04:41:12.494, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 12.98 W
2026/08/04 04:41:13.495, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 12.94 W
2026/08/04 04:41:14.495, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 12.89 W
2026/08/04 04:41:15.495, NVIDIA GeForce RTX 4090, 0 %, 0 %, 1 MiB, 49140 MiB, 12.83 W
2026/08/04 04:41:16.496, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 12.86 W
2026/08/04 04:41:17.496, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 12.85 W
2026/08/04 04:41:18.496, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.10 W
2026/08/04 04:41:19.497, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.11 W
2026/08/04 04:41:20.497, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 12.93 W
2026/08/04 04:41:21.497, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 12.78 W
2026/08/04 04:41:22.498, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 12.90 W
2026/08/04 04:41:23.498, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.06 W
2026/08/04 04:41:24.498, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.20 W
2026/08/04 04:41:25.499, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.20 W
2026/08/04 04:41:26.499, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.07 W
2026/08/04 04:41:27.500, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 12.97 W
2026/08/04 04:41:28.500, NVIDIA GeForce RTX 4090, 0 %, 0 %, 4 MiB, 49140 MiB, 13.05 W
